Date,Plot,Treat,trapID,Organism,Type,Abundance,Stadium,Obs
2022-06-08,P01,AWD,A,,,,,
2022-06-08,P01,AWD,B,Pelophylax perezi,Frog,1,Adult,adulta
2022-06-08,P03,CON,A,Carassius carassius,Fish,3,,foto 1 y 2
2022-06-08,P03,CON,A,Procambarus clarkii,Decapoda,1,Juvenile,juvenil
2022-06-08,P03,CON,A,Pelophylax perezi,Frog,1,Adult,adulta
2022-06-08,P03,CON,A,Dytiscidae sp.1,Coleoptera,1,Adult,adulta
2022-06-08,P03,CON,B,,,,,
2022-06-08,P05,AWD,A,Dytiscidae sp.1,Coleoptera,2,Adult,adulta
2022-06-08,P05,AWD,A,Procambarus clarkii,Decapoda,3,Adult,adulta
2022-06-08,P05,AWD,B,Dytiscidae sp.1,Coleoptera,1,Adult,adulta
2022-06-08,P07,MSD,A,,,,,
2022-06-08,P07,MSD,B,,,,,
2022-06-08,P09,AWD,A,Procambarus clarkii,Decapoda,1,Adult,adulta
2022-06-08,P09,AWD,A,Pelophylax perezi,Frog,1,Adult,adulta
2022-06-08,P09,AWD,A,Dytiscidae sp.1,Coleoptera,2,Adult,adulta
2022-06-08,P09,AWD,B,,,,,
2022-06-08,P11,MSD,A,,,,,
2022-06-08,P11,MSD,B,,,,,
2022-06-08,P13,MSD,A,Carassius carassius,Fish,1,Adult,adulta
2022-06-08,P13,MSD,A,Pelophylax perezi,Frog,1,Adult,adulta
2022-06-08,P13,MSD,B,,,,,
2022-06-08,P15,CON,A,Pelophylax perezi,Frog,1,Adult,adulta
2022-06-08,P15,CON,B,,,,,
2022-06-08,P14,AWD,A,,,,,
2022-06-08,P14,AWD,B,,,,,
2022-06-08,P12,CON,A,Pelophylax perezi,Frog,1,Adult,adulta
2022-06-08,P12,CON,A,Procambarus clarkii,Decapoda,1,Juvenile,juvenil
2022-06-08,P12,CON,B,Pelophylax perezi,Frog,1,Adult,adulta
2022-06-08,P10,AWD,A,,,,,
2022-06-08,P10,AWD,B,,,,,
2022-06-08,P08,CON,A,Dytiscidae sp.2,Coleoptera,1,,foto
2022-06-08,P08,CON,B,Pelophylax perezi,Frog,1,Adult,adulta
2022-06-08,P06,CON,A,,,,,
2022-06-08,P06,CON,B,Dytiscidae sp.1,Coleoptera,1,Adult,adulta
2022-06-08,P06,CON,B,Procambarus clarkii,Decapoda,1,Adult,adulta
2022-06-08,P06,CON,B,Pelophylax perezi,Frog,1,Adult,adulta
2022-06-08,P04,MSD,A,Dytiscidae sp.1,Coleoptera,1,Adult,adulta
