Index,Sampling_date,Ref_lab,VialCodi,Exp,Plot,Chamber_opacity,Year,Month,Day,Tr1,Tr2,Rep,chamber number,Sampler,Code,Water_level_cm,Temp_soil,Rice_cover_prop,Env_temp_initial,Env_temp_final,Sample_time,Sample_hour,Sample_time_min ,CCH4_ppm,CCO2_ppm,NN2O_ppm,Chamber_temp,Obs
1,2022-05-19,CER-MSD_R1_t0_44700,,CER,P02,TRA,2022,5,19,MSD,,1,9,Raul,E:CER_P:P02_Tr1:MSD_Tr2:_TRA_1_D:19_M:5_Y:2022,4,24,0,25,25,t0,11:13:15,0,1.1325,106.9149,1.0112,31.5,
2,2022-05-19,CER-MSD_R1_t1_44700,,CER,P02,TRA,2022,5,19,MSD,,1,9,Raul,E:CER_P:P02_Tr1:MSD_Tr2:_TRA_1_D:19_M:5_Y:2022,4,24,0,25,25,t1,11:23:15,10,1.1325,87.5262,1.0176,37,
3,2022-05-19,CER-MSD_R1_t2_44700,,CER,P02,TRA,2022,5,19,MSD,,1,9,Raul,E:CER_P:P02_Tr1:MSD_Tr2:_TRA_1_D:19_M:5_Y:2022,4,24,0,25,25,t2,11:33:15,20,1.2075,66.4756,1.501,35.3,
4,2022-05-19,CER-MSD_R1_t3_44700,,CER,P02,TRA,2022,5,19,MSD,,1,9,Raul,E:CER_P:P02_Tr1:MSD_Tr2:_TRA_1_D:19_M:5_Y:2022,4,24,0,25,25,t3,11:43:15,30,1.2075,108.4383,0.9794,38.8,
5,2022-05-19,CER-AWD_R1_t0_44700,,CER,P01,TRA,2022,5,19,AWD,,1,1,,E:CER_P:P01_Tr1:AWD_Tr2:_TRA_1_D:19_M:5_Y:2022,3,26,0,25,,t0,11:13:15,0,1.2825,104.4221,1.1639,32.4,
6,2022-05-19,CER-AWD_R1_t1_44700,,CER,P01,TRA,2022,5,19,AWD,,1,1,,E:CER_P:P01_Tr1:AWD_Tr2:_TRA_1_D:19_M:5_Y:2022,3,26,0,25,,t1,11:23:15,10,1.2825,81.0171,1.0049,38.6,
7,2022-05-19,CER-AWD_R1_t2_44700,,CER,P01,TRA,2022,5,19,AWD,,1,1,,E:CER_P:P01_Tr1:AWD_Tr2:_TRA_1_D:19_M:5_Y:2022,3,26,0,25,,t2,11:33:15,20,1.3575,83.9254,1.0367,36.3,
8,2022-05-19,CER-AWD_R1_t3_44700,,CER,P01,TRA,2022,5,19,AWD,,1,1,,E:CER_P:P01_Tr1:AWD_Tr2:_TRA_1_D:19_M:5_Y:2022,3,26,0,25,,t3,11:43:15,30,1.3575,93.0658,0.9922,40.4,
9,2022-05-19,CER-CON_R1_t0_44700,,CER,P03,TRA,2022,5,19,CON,,1,14,Raul,E:CER_P:P03_Tr1:CON_Tr2:_TRA_1_D:19_M:5_Y:2022,5,24,0,25,25,t0,11:13:15,0,1.1325,116.0553,0.9731,33.3,
10,2022-05-19,CER-CON_R1_t1_44700,,CER,P03,TRA,2022,5,19,CON,,1,14,Raul,E:CER_P:P03_Tr1:CON_Tr2:_TRA_1_D:19_M:5_Y:2022,5,24,0,25,25,t1,11:23:15,10,1.2075,101.3753,0.9731,38.3,
