Index,Sampling_date,Ref_lab,VialCodi,Exp,Plot,Chamber_opacity,Year,Month,Day,Tr1,Tr2,Rep,chamber number,Sampler,Code,Water_level_cm,Temp_soil,Rice_cover_prop,Env_temp_initial,Env_temp_final,Sample_time,Sample_hour,Sample_time_min ,CCH4_ppm,CCO2_ppm,NN2O_ppm,Chamber_temp
1,6/7/2023,P08_T0_07-06-23,,CER,P08,TRA,2023,6,7,CON,,3,2,MME,E:CER_P:P08_Tr1:CON_Tr2:_TRA_3_D:7_M:6_Y:2023,11,23.7,0.25,26,26,T0,12:38:38,0,1.29,84.4751,1.043,25.8
2,6/7/2023,P08_T1_07-06-23,,CER,P08,TRA,2023,6,7,CON,,3,2,MME,E:CER_P:P08_Tr1:CON_Tr2:_TRA_3_D:7_M:6_Y:2023,11,23.7,0.25,26,26,T1,12:52:00,10,1.4025,70.2259,1.0558,26.1
3,6/7/2023,P08_T2_07-06-23,,CER,P08,TRA,2023,6,7,CON,,3,2,MME,E:CER_P:P08_Tr1:CON_Tr2:_TRA_3_D:7_M:6_Y:2023,11,23.7,0.25,26,26,T2,13:02:00,20,1.47,57.73,1.043,26.5
4,6/7/2023,P08_T3_07-06-23,,CER,P08,TRA,2023,6,7,CON,,3,2,MME,E:CER_P:P08_Tr1:CON_Tr2:_TRA_3_D:7_M:6_Y:2023,11,23.7,0.25,26,26,T3,13:12:00,30,1.5225,46.6844,1.043,26.6
9,6/7/2023,P02_T0_07-06-23,,CER,P02,TRA,2023,6,7,MSD,,1,2,MME,E:CER_P:P02_Tr1:MSD_Tr2:_TRA_1_D:7_M:6_Y:2023,10,23.4,0.15,24.5,26,T0,11:24:30,0,1.2375,76.8345,1.679,24.9
10,6/7/2023,P02_T1_07-06-23,,CER,P02,TRA,2023,6,7,MSD,,1,2,MME,E:CER_P:P02_Tr1:MSD_Tr2:_TRA_1_D:7_M:6_Y:2023,10,23.4,0.15,24.5,26,T1,11:34:30,10,1.2375,78.515,1.3865,25.9
11,6/7/2023,P02_T2_07-06-23,,CER,P02,TRA,2023,6,7,MSD,,1,2,MME,E:CER_P:P02_Tr1:MSD_Tr2:_TRA_1_D:7_M:6_Y:2023,10,23.4,0.15,24.5,26,T2,11:44:30,20,1.335,60.326,1.2974,26.6
12,6/7/2023,P02_T3_07-06-23,,CER,P02,TRA,2023,6,7,MSD,,1,2,MME,E:CER_P:P02_Tr1:MSD_Tr2:_TRA_1_D:7_M:6_Y:2023,10,23.4,0.15,24.5,26,T3,11:54:30,30,1.3275,66.2751,1.3801,26.6
13,6/7/2023,P04_T0_07-06-23,,CER,P04,TRA,2023,6,7,MSD,,2,2,MME,E:CER_P:P04_Tr1:MSD_Tr2:_TRA_2_D:7_M:6_Y:2023,11,23.7,0.2,26.2,26,T0,12:01:38,0,1.335,91.6146,1.2847,25.8
14,6/7/2023,P04_T1_07-06-23,,CER,P04,TRA,2023,6,7,MSD,,2,2,MME,E:CER_P:P04_Tr1:MSD_Tr2:_TRA_2_D:7_M:6_Y:2023,11,23.7,0.2,26.2,26,T1,12:11:38,10,1.305,71.9752,1.2529,27.3
15,6/7/2023,P04_T2_07-06-23,,CER,P04,TRA,2023,6,7,MSD,,2,2,MME,E:CER_P:P04_Tr1:MSD_Tr2:_TRA_2_D:7_M:6_Y:2023,11,23.7,0.2,26.2,26,T2,12:21:38,20,1.2825,55.2854,1.1893,27.7
16,6/7/2023,P04_T3_07-06-23,,CER,P04,TRA,2023,6,7,MSD,,2,2,MME,E:CER_P:P04_Tr1:MSD_Tr2:_TRA_2_D:7_M:6_Y:2023,11,23.7,0.2,26.2,26,T3,12:31:38,30,1.4325,38.2957,2.1115,27.2
17,6/7/2023,P07_T0_07-06-23,,CER,P07,TRA,2023,6,7,MSD,,3,3,Raul,E:CER_P:P07_Tr1:MSD_Tr2:_TRA_3_D:7_M:6_Y:2023,7,22.9,0.15,26,27,T0,12:38:38,0,1.2825,69.8733,1.2529,25.3
18,6/7/2023,P07_T1_07-06-23,,CER,P07,TRA,2023,6,7,MSD,,3,3,Raul,E:CER_P:P07_Tr1:MSD_Tr2:_TRA_3_D:7_M:6_Y:2023,7,22.9,0.15,26,27,T1,12:52:00,10,1.2525,52.7352,1.1066,25.7
19,6/7/2023,P07_T2_07-06-23,,CER,P07,TRA,2023,6,7,MSD,,3,3,Raul,E:CER_P:P07_Tr1:MSD_Tr2:_TRA_3_D:7_M:6_Y:2023,7,22.9,0.15,26,27,T2,13:02:00 PM,20,1.3425,51.7709,1.113,26.3
20,6/7/2023,P07_T3_07-06-23,,CER,P07,TRA,2023,6,7,MSD,,3,3,Raul,E:CER_P:P07_Tr1:MSD_Tr2:_TRA_3_D:7_M:6_Y:2023,7,22.9,0.15,26,27,T3,13:08:38,30,1.305,44.2249,1.0685,27.1
25,6/7/2023,P01_T0_07-06-23,,CER,P01,TRA,2023,6,7,AWD,,1,3,Raul,E:CER_P:P01_Tr1:AWD_Tr2:_TRA_1_D:7_M:6_Y:2023,7.75,23,0.15,24.5,26,T0,11:24:30,0,1.2525,82.7388,1.501,24.5
26,6/7/2023,P01_T1_07-06-23,,CER,P01,TRA,2023,6,7,AWD,,1,3,Raul,E:CER_P:P01_Tr1:AWD_Tr2:_TRA_1_D:7_M:6_Y:2023,7.75,23,0.15,24.5,26,T1,11:34:30,10,1.2825,62.4209,1.5836,25.5
27,6/7/2023,P01_T2_07-06-23,,CER,P01,TRA,2023,6,7,AWD,,1,3,Raul,E:CER_P:P01_Tr1:AWD_Tr2:_TRA_1_D:7_M:6_Y:2023,7.75,23,0.15,24.5,26,T2,11:44:30,20,1.2975,58.6026,1.4819,26.2
28,6/7/2023,P01_T3_07-06-23,,CER,P01,TRA,2023,6,7,AWD,,1,3,Raul,E:CER_P:P01_Tr1:AWD_Tr2:_TRA_1_D:7_M:6_Y:2023,7.75,23,0.15,24.5,26,T3,11:54:30,30,1.32,45.4283,1.3928,26.3
29,6/7/2023,P05_T0_07-06-23,,CER,P05,TRA,2023,6,7,AWD,,2,3,Raul,E:CER_P:P05_Tr1:AWD_Tr2:_TRA_2_D:7_M:6_Y:2023,10,23.1,0.15,26,26,T0,12:01:38,0,1.245,98.6944,1.3165,25.3
30,6/7/2023,P05_T1_07-06-23,,CER,P05,TRA,2023,6,7,AWD,,2,3,Raul,E:CER_P:P05_Tr1:AWD_Tr2:_TRA_2_D:7_M:6_Y:2023,10,23.1,0.15,26,26,T1,12:11:38,10,1.29,49.1011,1.52,27
31,6/7/2023,P05_T2_07-06-23,,CER,P05,TRA,2023,6,7,AWD,,2,3,Raul,E:CER_P:P05_Tr1:AWD_Tr2:_TRA_2_D:7_M:6_Y:2023,10,23.1,0.15,26,26,T2,12:21:38,20,1.3425,39.3626,1.4501,27.4
32,6/7/2023,P05_T3_07-06-23,,CER,P05,TRA,2023,6,7,AWD,,2,3,Raul,E:CER_P:P05_Tr1:AWD_Tr2:_TRA_2_D:7_M:6_Y:2023,10,23.1,0.15,26,26,T3,12:31:38,30,1.4475,28.2962,1.6536,26.9
33,6/7/2023,P09_T0_07-06-23,,CER,P09,TRA,2023,6,7,AWD,,3,6,David M,E:CER_P:P09_Tr1:AWD_Tr2:_TRA_3_D:7_M:6_Y:2023,7,23.4,0.15,26,27,T0,12:38:38,0,1.26,104.1913,1.0176,25.6
34,6/7/2023,P09_T1_07-06-23,,CER,P09,TRA,2023,6,7,AWD,,3,6,David M,E:CER_P:P09_Tr1:AWD_Tr2:_TRA_3_D:7_M:6_Y:2023,7,23.4,0.15,26,27,T1,12:52:00,10,1.305,74.4686,1.0112,25.8
35,6/7/2023,P09_T2_07-06-23,,CER,P09,TRA,2023,6,7,AWD,,3,6,David M,E:CER_P:P09_Tr1:AWD_Tr2:_TRA_3_D:7_M:6_Y:2023,7,23.4,0.15,26,27,T2,13:02:00 PM,20,1.3875,73.9087,1.0558,26.8
36,6/7/2023,P09_T3_07-06-23,,CER,P09,TRA,2023,6,7,AWD,,3,6,David M,E:CER_P:P09_Tr1:AWD_Tr2:_TRA_3_D:7_M:6_Y:2023,7,23.4,0.15,26,27,T3,13:08:38,30,1.3575,42.1409,1.0303,26.9
41,6/7/2023,P03_T0_07-06-23,,CER,P03,TRA,2023,6,7,CON,,1,6,David M,E:CER_P:P03_Tr1:CON_Tr2:_TRA_1_D:7_M:6_Y:2023,7.5,23.3,0.2,24.5,26,T0,11:24:00,0,1.2225,98.3946,2.3023,24.1
42,6/7/2023,P03_T1_07-06-23,,CER,P03,TRA,2023,6,7,CON,,1,6,David M,E:CER_P:P03_Tr1:CON_Tr2:_TRA_1_D:7_M:6_Y:2023,7.5,23.3,0.2,24.5,26,T1,11:34:00,10,1.26,67.8451,1.272,25.3
43,6/7/2023,P03_T2_07-06-23,,CER,P03,TRA,2023,6,7,CON,,1,6,David M,E:CER_P:P03_Tr1:CON_Tr2:_TRA_1_D:7_M:6_Y:2023,7.5,23.3,0.2,24.5,26,T2,11:44:00,20,1.305,59.3746,1.2084,25.9
44,6/7/2023,P03_T3_07-06-23,,CER,P03,TRA,2023,6,7,CON,,1,6,David M,E:CER_P:P03_Tr1:CON_Tr2:_TRA_1_D:7_M:6_Y:2023,7.5,23.3,0.2,24.5,26,T3,11:54:00,30,1.3425,45.764,2.137,26
45,6/7/2023,P06_T0_07-06-23,,CER,P06,TRA,2023,6,7,CON,,2,6,David M,E:CER_P:P06_Tr1:CON_Tr2:_TRA_2_D:7_M:6_Y:2023,9,23,0.25,26,26,T0,12:31:08,0,1.2375,62.666,1.5455,25.4
46,6/7/2023,P06_T1_07-06-23,,CER,P06,TRA,2023,6,7,CON,,2,6,David M,E:CER_P:P06_Tr1:CON_Tr2:_TRA_2_D:7_M:6_Y:2023,9,23,0.25,26,26,T1,12:41:08,10,1.3275,64.1025,1.3674,27
47,6/7/2023,P06_T2_07-06-23,,CER,P06,TRA,2023,6,7,CON,,2,6,David M,E:CER_P:P06_Tr1:CON_Tr2:_TRA_2_D:7_M:6_Y:2023,9,23,0.25,26,26,T2,12:51:08,20,1.425,59.3716,1.5328,27.4
48,6/7/2023,P06_T3_07-06-23,,CER,P06,TRA,2023,6,7,CON,,2,6,David M,E:CER_P:P06_Tr1:CON_Tr2:_TRA_2_D:7_M:6_Y:2023,9,23,0.25,26,26,T3,13:01:08,30,1.4925,44.5467,1.0558,26.8
49,6/15/2023,P01_T0_15-06-23,,CER,P01,TRA,2023,6,15,AWD,,1,4,David M,E:CER_P:P01_Tr1:AWD_Tr2:_TRA_1_D:15_M:6_Y:2023,0,23,0.4,27,28,T0,10:25:00,0,1.3725,100.7495,1.2211,31.5
50,6/15/2023,P01_T1_15-06-23,,CER,P01,TRA,2023,6,15,AWD,,1,4,David M,E:CER_P:P01_Tr1:AWD_Tr2:_TRA_1_D:15_M:6_Y:2023,0,23,0.4,27,28,T1,10:35:00,10,1.38,76.7578,3.3008,34.6
51,6/15/2023,P01_T2_15-06-23,,CER,P01,TRA,2023,6,15,AWD,,1,4,David M,E:CER_P:P01_Tr1:AWD_Tr2:_TRA_1_D:15_M:6_Y:2023,0,23,0.4,27,28,T2,10:45:00,20,1.3425,79.7224,2.6712,34.5
