Date,Plot,Treat,trapID,Organism,Type,Abundance,Stadium,Obs
6/8/2022,P01,AWD,A,,,,,
6/8/2022,P01,AWD,B,Pelophylax perezi,Frog,1,Adult,adulta
6/8/2022,P03,CON,A,Carassius carassius,Fish,3,,foto 1 y 2
6/8/2022,P03,CON,A,Procambarus clarkii,Decapoda,1,Juvenile,juvenil
6/8/2022,P03,CON,A,Pelophylax perezi,Frog,1,Adult,adulta
6/8/2022,P03,CON,A,Dytiscidae sp.1,Coleoptera,1,Adult,adulta
6/8/2022,P03,CON,B,,,,,
6/8/2022,P05,AWD,A,Dytiscidae sp.1,Coleoptera,2,Adult,adulta
6/8/2022,P05,AWD,A,Procambarus clarkii,Decapoda,3,Adult,adulta
6/8/2022,P05,AWD,B,Dytiscidae sp.1,Coleoptera,1,Adult,adulta
6/8/2022,P07,MSD,A,,,,,
6/8/2022,P07,MSD,B,,,,,
6/8/2022,P09,AWD,A,Procambarus clarkii,Decapoda,1,Adult,adulta
6/8/2022,P09,AWD,A,Pelophylax perezi,Frog,1,Adult,adulta
6/8/2022,P09,AWD,A,Dytiscidae sp.1,Coleoptera,2,Adult,adulta
6/8/2022,P09,AWD,B,,,,,
6/8/2022,P11,MSD,A,,,,,
6/8/2022,P11,MSD,B,,,,,
6/8/2022,P13,MSD,A,Carassius carassius,Fish,1,Adult,adulta
6/8/2022,P13,MSD,A,Pelophylax perezi,Frog,1,Adult,adulta
6/8/2022,P13,MSD,B,,,,,
6/8/2022,P15,CON,A,Pelophylax perezi,Frog,1,Adult,adulta
6/8/2022,P15,CON,B,,,,,
6/8/2022,P14,AWD,A,,,,,
6/8/2022,P14,AWD,B,,,,,
6/8/2022,P12,CON,A,Pelophylax perezi,Frog,1,Adult,adulta
6/8/2022,P12,CON,A,Procambarus clarkii,Decapoda,1,Juvenile,juvenil
6/8/2022,P12,CON,B,Pelophylax perezi,Frog,1,Adult,adulta
6/8/2022,P10,AWD,A,,,,,
6/8/2022,P10,AWD,B,,,,,
6/8/2022,P08,CON,A,Dytiscidae sp.2,Coleoptera,1,,foto
6/8/2022,P08,CON,B,Pelophylax perezi,Frog,1,Adult,adulta
6/8/2022,P06,CON,A,,,,,
6/8/2022,P06,CON,B,Dytiscidae sp.1,Coleoptera,1,Adult,adulta
6/8/2022,P06,CON,B,Procambarus clarkii,Decapoda,1,Adult,adulta
6/8/2022,P06,CON,B,Pelophylax perezi,Frog,1,Adult,adulta
6/8/2022,P04,MSD,A,Dytiscidae sp.1,Coleoptera,1,Adult,adulta
6/8/2022,P04,MSD,A,Procambarus clarkii,Decapoda,1,Juvenile,juvenil
6/8/2022,P04,MSD,A,Pelophylax perezi,Frog,1,Adult,adulta
6/8/2022,P04,MSD,B,Pelophylax perezi,Frog,1,Adult,adulta
6/8/2022,P02,MSD,A,Dytiscidae sp.1,Coleoptera,1,Adult,adulta
6/8/2022,P02,MSD,B,Dytiscidae sp.1,Coleoptera,1,Adult,adulta
6/8/2022,P02,MSD,B,Carassius carassius,Fish,3,,fotos
6/28/2022,P01,AWD,A,,,,,
6/28/2022,P01,AWD,B,,,,,
6/28/2022,P03,CON,A,Pelophylax perezi,Tadpole,1,Juvenile,juvenil
6/28/2022,P03,CON,A,Procambarus clarkii,Decapoda,2,Adult,adulta
6/28/2022,P03,CON,A,Sympetrum sp.,Odonata,3,Juvenile,juvenil
6/28/2022,P03,CON,B,Sympetrum sp.,Odonata,4,Juvenile,juvenil
6/28/2022,P05,AWD,A,Sympetrum sp.,Odonata,1,Juvenile,juvenil
6/28/2022,P07,MSD,A,Procambarus clarkii,Decapoda,1,Adult,adulta
6/28/2022,P07,MSD,B,Procambarus clarkii,Decapoda,10,Adult,adulta
6/28/2022,P07,MSD,B,Pelophylax perezi,Tadpole,4,Juvenile,juvenil
6/28/2022,P07,MSD,B,Sympetrum sp.,Odonata,2,Juvenile,juvenil
6/28/2022,P09,AWD,A,,,,,
6/28/2022,P09,AWD,B,,,,,
6/28/2022,P11,MSD,A,Pelophylax perezi,Tadpole,4,Juvenile,juvenil
6/28/2022,P11,MSD,A,Procambarus clarkii,Decapoda,2,Adult,adulta
6/28/2022,P11,MSD,A,Sympetrum sp.,Odonata,1,Juvenile,juvenil
6/28/2022,P11,MSD,A,Coenagrionidae sp.,Odonata,1,Juvenile,juvenil
6/28/2022,P11,MSD,B,Procambarus clarkii,Decapoda,8,Adult,adulta
6/28/2022,P11,MSD,B,Carassius carassius,Fish,1,Adult,adulta
6/28/2022,P11,MSD,B,Pelophylax perezi,Tadpole,4,Juvenile,juvenil
6/28/2022,P13,MSD,A,Pelophylax perezi,Tadpole,43,Juvenile,juvenil
6/28/2022,P13,MSD,A,Sympetrum sp.,Odonata,1,Juvenile,juvenil
6/28/2022,P13,MSD,A,Procambarus clarkii,Decapoda,1,Adult,adulta
6/28/2022,P13,MSD,B,Procambarus clarkii,Decapoda,1,Adult,adulta
6/28/2022,P13,MSD,B,Pelophylax perezi,Tadpole,11,Juvenile,juvenil
6/28/2022,P13,MSD,B,Sympetrum sp.,Odonata,1,Juvenile,juvenil
6/28/2022,P13,MSD,B,Larva mosca,Diptera,1,,Identificar
6/28/2022,P15,CON,A,Dytiscidae sp.1,Coleoptera,1,Adult,adulta
6/28/2022,P15,CON,A,Procambarus clarkii,Decapoda,5,Adult,adulta
6/28/2022,P15,CON,A,Pelophylax perezi,Tadpole,4,Juvenile,juvenil
6/28/2022,P15,CON,A,Coenagrionidae sp.,Odonata,1,Juvenile,juvenil
6/28/2022,P15,CON,B,Pseudorasbora parva,Fish,1,Adult,adulta
6/28/2022,P15,CON,B,Procambarus clarkii,Decapoda,8,Adult,adulta
