Date,Sampling,Plot,Treat,Sub_sample,Weight,Phylum_SubPhylum,Class_SubClass,Order_SubOrder,Family_SubFamily,Genus,Species,Stadium,Unclassified,Trophic_level,Abundance,Weighted_Abundance,Obs
2022-06-10,1,P01,AWD,Y,2,Arthropoda,Insecta,Diptera,Chironominae,,,,,,31,62,
2022-06-10,1,P01,AWD,N,1,Arthropoda,Insecta,Diptera,Chironominae,,,Pupa,,,12,12,
2022-06-10,1,P01,AWD,Y,2,Arthropoda,Insecta,Diptera,Orthocladiinae,,,,,,90,180,
2022-06-10,1,P01,AWD,N,1,Arthropoda,Insecta,Diptera,Orthocladiinae,,,Pupa,,,13,13,
2022-06-10,1,P01,AWD,Y,2,Crustacea,Ostracoda (redondo),,,,,,,,270,540,
2022-06-10,1,P01,AWD,Y,2,Crustacea,Ostracoda (largo),,,,,,,,17,34,
2022-06-10,1,P01,AWD,N,1,Crustacea,Malacostraca,Decapoda,Cambaridae,Procambarus,clarkii,,,,1,1,
2022-06-10,1,P01,AWD,N,1,Arthropoda,Insecta,Coleoptera,Dytiscidae,Dytiscus,sp,,,,1,1,Enviado; Foto 63-64; Comprovar estado
2022-06-10,1,P01,AWD,N,1,Arthropoda,Insecta,Odonata,Libellulidae,,,,,,4,4,
2022-06-10,1,P01,AWD,N,1,Arthropoda,Insecta,Odonata,Coenagrionidae,,,,,,4,4,
2022-06-10,1,P01,AWD,N,1,Arthropoda,Insecta,Coleoptera,Dytiscidae,Bidessus/ Hydroglyphus,sp,Larvae,,,21,21,Algunos individuos dejados en UdG
2022-06-10,1,P01,AWD,N,1,Crustacea,Copepoda,Cyclopoida,,,,,,,1,1,
2022-06-10,1,P01,AWD,N,1,,,,,,,,Sanguijuela pequena,,28,28,Algunos individuos dejados en UdG; Foto 65
2022-06-10,1,P01,AWD,N,1,Annelida,Oligochaeta,,,,,,,,30,30,
2022-06-10,1,P01,AWD,N,1,Arthropoda,Insecta,Coleoptera,Dytiscidae,Bidessus/ Hydroglyphus,sp,Adult,,,1,1,
2022-06-10,1,P01,AWD,N,1,Arthropoda,Insecta,Diptera,Dolichopodidae,,,,,,2,2,Enviado
2022-06-10,1,P01,AWD,N,1,,,,,,,,Larva diptero 1,,1,1,Enviado; Foto 66-67
2022-06-10,1,P01,AWD,N,1,Arthropoda,Insecta,Heteroptera,Corixinae,,,,,,1,1,
2022-06-10,1,P01,AWD,N,1,Arthropoda,Insecta,Diptera,Ceratopogoninae,,,,,,3,3,
2022-06-10,1,P01,AWD,N,1,Arthropoda,Insecta,Diptera,Ceratopogoninae,,,Pupa,,,1,1,
2022-06-10,1,P01,AWD,N,1,Nematoda,,,,,,,,,1,1,
