Date,Plot,Rep,Treat,Pipe_h,Water_h,Water_level_cm,Tensio,Obs
2022-06-14,P01,1,AWD,35.5,38.5,-3.0,0.0,7.20h
2022-06-14,P02,1,MSD,40.0,15.0,25.0,0.0,
2022-06-14,P03,1,CON,,,,0.0,
2022-06-14,P04,2,MSD,38.0,21.0,17.0,0.0,
2022-06-14,P05,2,AWD,39.0,40.0,-1.0,0.0,
2022-06-14,P06,2,CON,,,,0.0,
2022-06-14,P07,3,MSD,36.5,22.0,14.5,0.0,
2022-06-14,P08,3,CON,,,,0.0,
2022-06-14,P09,3,AWD,34.0,39.0,-5.0,0.0,
2022-06-14,P10,4,AWD,35.0,39.0,-4.0,0.0,
2022-06-14,P11,4,MSD,34.0,24.0,10.0,0.0,
2022-06-14,P12,4,CON,,,,0.0,
2022-06-14,P13,5,MSD,34.0,26.0,8.0,,
2022-06-14,P14,5,AWD,28.0,32.0,-4.0,0.0,
2022-06-14,P15,5,CON,,,,0.0,
2022-06-16,P01,1,AWD,35.5,47.0,-11.5,5.0,8.30h
2022-06-16,P02,1,MSD,40.0,17.0,23.0,0.0,
2022-06-16,P03,1,CON,,,,0.0,
2022-06-16,P04,2,MSD,38.0,23.0,15.0,0.0,
2022-06-16,P05,2,AWD,39.0,45.0,-6.0,0.0,
2022-06-16,P06,2,CON,,,,0.0,
2022-06-16,P07,3,MSD,36.5,23.0,13.5,0.0,
2022-06-16,P08,3,CON,,,,0.0,
2022-06-16,P09,3,AWD,34.0,47.5,-13.5,0.0,
2022-06-16,P10,4,AWD,35.0,45.0,-10.0,0.0,
2022-06-16,P11,4,MSD,34.0,23.0,11.0,0.0,
2022-06-16,P12,4,CON,,,,0.0,
2022-06-16,P13,5,MSD,34.0,23.0,11.0,,
2022-06-16,P14,5,AWD,28.0,40.0,-12.0,0.0,
2022-06-16,P15,5,CON,,,,0.0,
2022-06-16,P01,1,AWD,35.5,49.0,-13.5,5.0,13h
2022-06-16,P02,1,MSD,40.0,17.0,23.0,0.0,
2022-06-16,P03,1,CON,,,,0.0,
2022-06-16,P04,2,MSD,38.0,23.0,15.0,0.0,
2022-06-16,P05,2,AWD,39.0,47.0,-8.0,4.0,
2022-06-16,P06,2,CON,,,,0.0,
2022-06-16,P07,3,MSD,36.5,23.0,13.5,0.0,
2022-06-16,P08,3,CON,,,,0.0,
2022-06-16,P09,3,AWD,34.0,49.0,-15.0,0.0,
2022-06-16,P10,4,AWD,35.0,46.5,-11.5,0.0,
2022-06-16,P11,4,MSD,34.0,23.0,11.0,0.0,
2022-06-16,P12,4,CON,,,,0.0,
2022-06-16,P13,5,MSD,34.0,23.0,11.0,0.0,
