Date,Plot,Experiment,Plot_type,Herbicide_treat,Treat,TUMBADO (1-9),Harvest_area_m2,Weight_kg,Grain_humidity_perc,Yield_kg_ha,Weight_loss_perc,Yield_kg_ha_14_perc,Obs
10/6/2022,P01,Cerestres,Plot,NA,AWD,3,89.25,60.3,17.4,6756.302521,3.953488372,6489.192886,JOAN
10/6/2022,P01,Control,Subplot,Control,AWD,3,9.75,8.8,18.4,9025.641026,5.11627907,8563.864043,JOAN
10/6/2022,P01,No herbicide,Subplot,No herbicide,AWD,3,9.5,6.6,19.5,6947.368421,6.395348837,6503.059976,JOAN
10/3/2022,P02,Cerestres,Plot,NA,MSD,3,89,75.5,15.1,8483.146067,1.279069767,8374.640711,CISCO
10/3/2022,P02,Control,Subplot,Control,MSD,3,10,8.8,14.8,8800,0.930232558,8718.139535,CISCO
10/3/2022,P02,No herbicide,Subplot,No herbicide,MSD,3,9.5,8.1,13.9,8526.315789,-0.11627907,8536.23011,CISCO
10/6/2022,P03,Cerestres,Plot,NA,CON,3,89.25,70.7,17.1,7921.568627,3.604651163,7636.023712,JOAN
10/6/2022,P03,Control,Subplot,Control,CON,3,9.75,10,17.1,10256.41026,3.604651163,9886.702445,JOAN
10/6/2022,P03,No herbicide,Subplot,No herbicide,CON,3,9.5,9.9,17.6,10421.05263,4.186046512,9984.822521,JOAN
10/3/2022,P04,Cerestres,Plot,NA,MSD,3,89,75.6,13.4,8494.382022,-0.697674419,8553.645153,CISCO
10/3/2022,P04,Control,Subplot,Control,MSD,3,10,9.7,14.2,9700,0.23255814,9677.44186,CISCO
10/3/2022,P04,No herbicide,Subplot,No herbicide,MSD,3,9.5,7.5,15.8,7894.736842,2.093023256,7729.498164,CISCO
10/6/2022,P05,Cerestres,Plot,NA,AWD,3,89.25,64.4,17.5,7215.686275,4.069767442,6922.024624,JOAN
10/6/2022,P05,Control,Subplot,Control,AWD,3,9.75,7.8,17,8000,3.488372093,7720.930233,JOAN
10/6/2022,P05,No herbicide,Subplot,No herbicide,AWD,3,9.5,7.9,17.5,8315.789474,4.069767442,7977.356181,JOAN
