Plot;Treat;Order_SubOrder;Abundance
P01;AWD;Coleoptera;25
P01;AWD;Decapoda;65
P01;AWD;Fish;4
P01;AWD;Heteroptera;46
P01;AWD;Odonata;17
P02;MSD;Coleoptera;45
P02;MSD;Decapoda;141
P02;MSD;Fish;18
P02;MSD;Heteroptera;60
P02;MSD;Odonata;48
P02;MSD;Tadpole;10
P03;CON;Coleoptera;41
P03;CON;Decapoda;73
P03;CON;Fish;3
P03;CON;Heteroptera;103
P03;CON;Odonata;135
P03;CON;Tadpole;9
P04;MSD;Coleoptera;47
P04;MSD;Decapoda;158
P04;MSD;Fish;16
P04;MSD;Heteroptera;49
P04;MSD;Odonata;60
P04;MSD;Tadpole;89
P05;AWD;Coleoptera;42
P05;AWD;Decapoda;50
P05;AWD;Fish;1
P05;AWD;Heteroptera;56
P05;AWD;Odonata;34
P05;AWD;Tadpole;1
P06;CON;Coleoptera;42
P06;CON;Decapoda;148
P06;CON;Fish;1
P06;CON;Heteroptera;111
P06;CON;Odonata;134
P06;CON;Tadpole;28
P07;MSD;Coleoptera;40
P07;MSD;Decapoda;71
P07;MSD;Heteroptera;78
P07;MSD;Odonata;46
P07;MSD;Tadpole;4
P08;CON;Coleoptera;44
P08;CON;Decapoda;150
P08;CON;Fish;1
P08;CON;Heteroptera;84
P08;CON;Odonata;113
P08;CON;Tadpole;72
P09;AWD;Coleoptera;49
P09;AWD;Decapoda;71
P09;AWD;Fish;2
P09;AWD;Heteroptera;65
P09;AWD;Odonata;36
P10;AWD;Coleoptera;62
P10;AWD;Decapoda;50
P10;AWD;Fish;1
P10;AWD;Heteroptera;34
P10;AWD;Odonata;17
P10;AWD;Tadpole;1
P11;MSD;Coleoptera;45
P11;MSD;Decapoda;163
P11;MSD;Fish;2
P11;MSD;Heteroptera;71
P11;MSD;Odonata;8
P11;MSD;Tadpole;8
P12;CON;Coleoptera;55
P12;CON;Decapoda;239
P12;CON;Fish;5
P12;CON;Heteroptera;89
P12;CON;Odonata;82
P13;MSD;Coleoptera;55
P13;MSD;Decapoda;83
P13;MSD;Fish;2
P13;MSD;Heteroptera;53
P13;MSD;Odonata;54
P13;MSD;Tadpole;56
P14;AWD;Coleoptera;17
P14;AWD;Decapoda;59
P14;AWD;Fish;2
P14;AWD;Heteroptera;34
P14;AWD;Odonata;17
P15;CON;Coleoptera;11
P15;CON;Decapoda;266
P15;CON;Fish;13
P15;CON;Heteroptera;107
P15;CON;Odonata;52
P15;CON;Tadpole;6
