Plot,Sampling,Treat,siteID,q0.obs,q0.est,q0.se,q1.obs,q1.est,q1.se,q2.obs,q2.est,q2.se
P01,1,AWD,P01_1_AWD,5,5.967741935483871,0.9727304223194232,2.7560965781726887,3.0268739520370307,0.4662133868235017,2.0231578947368427,2.0945945945945925,0.4099764461993134
P01,2,AWD,P01_2_AWD,5,11.666666666666668,4.804699447885558,4.762203155904597,12.419493834892643,6.758687095782196,4.5,14.999999999999995,NA
P01,3,AWD,P01_3_AWD,2,2,0.4852365870939097,1.5691925832141966,1.7284451068967288,0.4576882312431553,1.3846153846153844,1.4999999999999996,0.5032485686323904
P01,4,AWD,P01_4_AWD,4,4,0.25308974841094817,2.774572197275836,2.8719867222572226,0.35496856968174356,2.161152614727855,2.2197309417040265,0.3801675794094367
P02,1,MSD,P02_1_MSD,4,4,0.45679209707653873,2.083330049738962,2.144066371220893,0.26539425950473555,1.5829408686551543,1.6002155172413828,0.19087468689385237
P02,2,MSD,P02_2_MSD,6,6.972222222222222,2.138772920895503,2.9718167118171186,3.2717077746604493,0.6269664687663882,2.0836012861736335,2.150170648464161,0.41786337761858405
P02,3,MSD,P02_3_MSD,5,5,0.5200100711511512,3.4386321984108212,3.5937188354412117,0.4134295550651822,2.7494033412887835,2.855696202531646,0.4711281138286915
P02,4,MSD,P02_4_MSD,4,4,0.7185875823678645,3.454436655786227,3.8818980855513217,0.5556987590015364,3.1612903225806455,3.7916666666666594,0.6690873871788973
P03,1,CON,P03_1_CON,5,5,0.5472048903048664,3.157340016720028,3.291295714069634,0.41701448154543685,2.3928242870285192,2.4613899613899597,0.4151130770006039
P03,2,CON,P03_2_CON,11,13.977272727272727,3.4572018402284472,4.566197257099611,4.819941270754448,0.47253329380401843,3.204119161456418,3.258952129664531,0.2758666366934012
P03,3,CON,P03_3_CON,7,11.438356164383562,4.670693965481357,3.5158616566658933,3.7961641271919353,0.5101390452960334,2.8240593534711187,2.8974641675854445,0.28084402660050095
P03,4,CON,P03_4_CON,5,5.478260869565218,1.3291887954197885,3.7347777084515976,4.166267435185751,0.7254327799410667,3.0935672514619883,3.418918918918911,0.7939627518403747
P04,1,MSD,P04_1_MSD,5,5,0.5953710725380865,2.477896624793696,2.567485409568961,0.3339418967470546,1.7839444995044602,1.8079673135852898,0.2640928798916528
P04,2,MSD,P04_2_MSD,4,6.75,1.66494724017614,2.309401076758503,3.077177385347375,0.8679054337099895,1.7142857142857142,1.8333333333333328,0.6383777748038046
P04,3,MSD,P04_3_MSD,5,5,0.5329325848065719,2.993895655709594,3.091223271193095,0.3363413621320522,2.2384378211716345,2.281914893617026,0.319072613410865
P04,4,MSD,P04_4_MSD,4,4.472222222222222,1.3798461516306255,2.8289611131475527,3.1596923466786873,0.6740674283462852,2.28169014084507,2.467741935483868,0.6353388386365433
P05,1,AWD,P05_1_AWD,3,3.975609756097561,0.6071328643122385,1.2569909686986167,1.3155272308257953,0.1447987079534133,1.1037426132632961,1.1066126855600538,0.07945356530775907
P05,2,AWD,P05_2_AWD,4,4.485294117647059,1.4324668669715075,2.5795167080886525,2.7343486822710985,0.39103754806861685,2.197718631178707,2.280487804878048,0.271875943500578
P05,3,AWD,P05_3_AWD,3,3.4166666666666665,1.186065277187913,2.7494592739972052,3.502420948868214,1.2942270136083363,2.5714285714285716,3.7499999999999987,1.81511170139996
P05,4,AWD,P05_4_AWD,5,5,0.6691668426034402,2.7253599793253596,2.840664161652602,0.4113474175047846,1.9809596344249807,2.020602218700471,0.3232019542691831
P06,1,CON,P06_1_CON,4,4,0.22552389013795615,3.178734017872371,3.292824836212937,0.3003026408548159,2.8057971014492757,2.9287925696594423,0.34529586596602085
P06,2,CON,P06_2_CON,10,10.495901639344263,2.3242148889337457,5.886873987903199,6.137219494057656,0.5208472677983607,4.445639187574672,4.575945443273413,0.45551370039928285
P06,3,CON,P06_3_CON,8,10.967032967032967,2.1802369022273815,4.28017752672826,4.549873516204682,0.4881238583200981,3.3841438496117693,3.4762308998302185,0.40690120911121724
P06,4,CON,P06_4_CON,4,4,0.39226974667011677,3.117142110535454,3.28508322123592,0.4315809979198594,2.6470588235294117,2.80645161290323,0.5119434861800195
P07,1,MSD,P07_1_MSD,2,2,0.21904291355759026,1.305236777831472,1.3225686357632058,0.12923388340155642,1.1611030478955007,1.165919282511214,0.09070458343661413
P07,2,MSD,P07_2_MSD,7,14.68,6.93420770057744,3.5153313686478422,4.653176501218209,1.577287264680535,2.2893772893772892,2.4193548387096815,0.6574194134442618
P07,3,MSD,P07_3_MSD,6,8.953846153846154,1.614160930679124,3.3184274831006295,3.557391423592059,0.36718522245421836,2.7704918032786887,2.849315068493148,0.3199795697970459
P07,4,MSD,P07_4_MSD,4,4,0.3193459607509272,2.9905390452851854,3.132110369386862,0.3331662143442586,2.502164502164502,2.621495327102804,0.40876248720854214
P08,1,CON,P08_1_CON,4,4,0.2825333293475624,2.6944824080282963,2.766163368804726,0.3285775764593567,2.1316595223515002,2.1740787801778962,0.33266907463156326
P08,2,CON,P08_2_CON,11,11.164444444444445,2.9021763705650403,8.012006038507469,8.612790780157807,0.6803372163113738,6.672597864768682,7.22656250000001,0.8078531203120216
P08,3,CON,P08_3_CON,6,6,0.8344016254643974,2.8427870379900284,2.945177148520019,0.3474745900523932,1.9716088328075712,1.997840172786179,0.26339356861412544
P08,4,CON,P08_4_CON,5,5.96875,0.6853545774341161,3.3166942139575766,3.6302851397948483,0.37984312778876206,2.7234042553191493,2.8837209302325597,0.4148377405473714
P09,1,AWD,P09_1_AWD,3,3,0.4333793230230025,1.6003717761615053,1.6377387632079166,0.20996513256685026,1.306172839506173,1.315120711562899,0.1463181378555934
P09,2,AWD,P09_2_AWD,3,3.8,1.3416272345042923,2.586409289858933,3.6988546507831566,1.4610548850618217,2.272727272727273,3.333333333333332,1.8966448017296675
P09,3,AWD,P09_3_AWD,8,9.044642857142858,4.806074582991439,7.445101560185091,10.44385604182939,2.716343162359233,7.000000000000001,12.999999999999972,2.697067642949243
P09,4,AWD,P09_4_AWD,5,5.4941176470588236,1.1571061044978388,2.8103108789498474,2.8938223346322363,0.245220464979191,2.225130890052356,2.2580645161290356,0.2195140659471863
P10,1,AWD,P10_1_AWD,4,4,0.8050581669846808,1.7744953561269163,1.8279418119546593,0.23985489788617675,1.3626168224299067,1.3720038350910821,0.14222485953381964
P10,2,AWD,P10_2_AWD,4,4,0.5164087749369379,3.6917721827352565,4.179258151773624,0.4899513168046249,3.4489795918367343,4.333333333333329,0.7274316322544083
P10,3,AWD,P10_3_AWD,7,12.727272727272727,4.635448755365513,4.2039194517675895,5.625214506995475,1.5006373247226197,2.9156626506024095,3.2083333333333393,0.9281500792161781
P10,4,AWD,P10_4_AWD,5,5,0.9360967097549425,3.607460742328557,3.9465041885575656,0.5507676530031139,2.823529411764706,3.066666666666673,0.615953341683989
P11,1,MSD,P11_1_MSD,3,3.9782608695652173,0.5169326782511637,1.2324225024908768,1.283482235296473,0.1128698194224269,1.091847265221878,1.0940803382663877,0.06113974843238805
P11,2,MSD,P11_2_MSD,3,3,0.615809959781146,2.649351128562104,3.0455773106822503,0.5625929940020509,2.4615384615384617,3.1111111111111103,0.6792744270261495
P11,3,MSD,P11_3_MSD,5,7.914285714285715,2.030273196208477,2.0774700101139896,2.330056350359988,0.4482716911636953,1.5255292652552925,1.549479166666668,0.25118415128876487
P11,4,MSD,P11_4_MSD,5,5.485714285714286,1.7261311289992143,2.622012688403204,2.8179171308005757,0.5189033011516905,1.870229007633588,1.9193548387096802,0.35824671839172545
P12,1,CON,P12_1_CON,4,4,0.2056625766122473,2.2197353222482157,2.2752555929965697,0.27338933744694793,1.6627565982404695,1.6807228915662686,0.23177443410825851
P12,2,CON,P12_2_CON,10,14.443750000000001,4.4345363693306465,6.05890761488064,6.625157943081382,0.8485996382574342,4.7690014903129665,5.007923930269407,0.6315040431131489
P12,3,CON,P12_3_CON,5,5,0.3898606685844199,3.1979707143453178,3.3338334929947666,0.47417743851071625,2.345215759849906,2.411417322834652,0.4596466970449306
P12,4,CON,P12_4_CON,5,5,0.6706735335193416,3.705060298111421,3.952858277688126,0.47440229497852443,3.174927113702624,3.4064516129032314,0.49987906555895656
P13,1,MSD,P13_1_MSD,4,4,0.5199797470113756,1.9790282303598283,2.028510737547508,0.23446054897564453,1.521425999279798,1.533923303834807,0.1667872591537416
P13,2,MSD,P13_2_MSD,3,3.8333333333333335,1.0618033465766372,2.381101577952299,3.2156193057341884,0.9634108540024908,2,2.4999999999999987,0.9648226152143752
P13,3,MSD,P13_3_MSD,5,5,0.6003728767572977,2.7095791565193132,2.800848362772424,0.2879744510859253,1.9806576402321083,2.0119760479041893,0.24725094843318285
P13,4,MSD,P13_4_MSD,4,4.962962962962963,0.8696050156772747,2.0595716568432927,2.249515221518675,0.32982715503106513,1.588235294117647,1.6249999999999982,0.256575091875634
P14,1,AWD,P14_1_AWD,3,3,0.4147553468676818,2.5284774782180004,2.7145489815923365,0.4079081710131981,2.2277227722772275,2.4418604651162803,0.5525317195466102
P14,2,AWD,P14_2_AWD,6,6.235294117647059,1.9614734380230818,5.347858137368909,6.3484768422206965,1.1570036644361559,4.898305084745762,6.4761904761904665,1.3326085580773954
P14,3,AWD,P14_3_AWD,4,5.777777777777778,2.2701619141810294,3.155224647081286,4.318168825296966,1.6634012769141766,2.6129032258064515,3.272727272727273,1.6949530514059234
P14,4,AWD,P14_4_AWD,4,4,0.37888181069198495,2.8572615814738236,3.029896988391526,0.40880420688161095,2.2430769230769227,2.3557046979865794,0.4722252832288177
P15,1,CON,P15_1_CON,2,2,0.34873508801977715,1.5362171861003946,1.6016058321216264,0.2879746528516641,1.352,1.39285714285714,0.27572354688873896
P15,2,CON,P15_2_CON,7,7.246951219512195,1.8453243278036662,2.967133431727661,3.092952511477305,0.44773708090202846,1.9753231492361931,1.9993979530403303,0.28964074418676744
P15,3,CON,P15_3_CON,5,5,0.5295393614046082,3.5451498869473395,3.752305497235385,0.5159762276886948,2.776876267748478,2.9210526315789402,0.6177330349856072
P15,4,CON,P15_4_CON,5,5,0.5563607178343404,3.772655575805013,3.9895818804895034,0.40292978202953655,3.266968325791855,3.480198019801985,0.4704678016819763
