Date;Sampling;Plot;Treat;Rep;Sub_sample;Weight;Phylum_SubPhylum;Class_SubClass;Order_SubOrder;Family_SubFamily;Genus;Species;Unclassified;Stadium;Weighted_Abundance;Trophic_level;Obs;Taxres_max
2022-06-10;1;P01;AWD;1;N;1;Crustacea;Malacostraca;Decapoda;Cambaridae;Procambarus;clarkii;NA;NA;1;NA;NA;clarkii
2022-06-10;1;P01;AWD;1;N;1;Arthropoda;Insecta;Diptera;Ceratopogoninae;NA;NA;NA;Pupa;1;NA;NA;Ceratopogoninae
2022-06-10;1;P01;AWD;1;N;1;Arthropoda;Insecta;Diptera;Ceratopogoninae;NA;NA;NA;NA;3;NA;NA;Ceratopogoninae
2022-06-10;1;P01;AWD;1;N;1;Arthropoda;Insecta;Diptera;Chironominae;NA;NA;NA;Pupa;12;NA;NA;Chironominae
2022-06-10;1;P01;AWD;1;Y;2;Arthropoda;Insecta;Diptera;Chironominae;NA;NA;NA;NA;62;NA;NA;Chironominae
2022-06-10;1;P01;AWD;1;N;1;Arthropoda;Insecta;Odonata;Coenagrionidae;NA;NA;NA;NA;4;NA;NA;Coenagrionidae
2022-06-10;1;P01;AWD;1;N;1;Arthropoda;Insecta;Heteroptera;Corixinae;Sigara;nigrolineata;NA;NA;1;NA;NA;nigrolineata
2022-06-10;1;P01;AWD;1;N;1;Arthropoda;Insecta;Diptera;Dolichopodidae;NA;NA;NA;NA;2;NA;Enviado;Dolichopodidae
2022-06-10;1;P01;AWD;1;N;1;Arthropoda;Insecta;Coleoptera;Dytiscidae;Hydroglyphus;NA;NA;Adult;1;NA;NA;Hydroglyphus
2022-06-10;1;P01;AWD;1;N;1;Arthropoda;Insecta;Coleoptera;Dytiscidae;Hydroglyphus;NA;NA;Larvae;21;NA;Algunos individuos dejados en UdG;Hydroglyphus
2022-06-10;1;P01;AWD;1;N;1;Arthropoda;Insecta;Coleoptera;Dytiscidae;Rhantus;suturalis;NA;Larvae;1;NA;"Enviado; Foto 63-64; Comprovar estado";suturalis
2022-06-10;1;P01;AWD;1;N;1;Arthropoda;Insecta;Odonata;Libellulidae;NA;NA;NA;NA;4;NA;NA;Libellulidae
2022-06-10;1;P01;AWD;1;N;1;Arthropoda;Insecta;Diptera;Orthocladiinae;NA;NA;NA;Pupa;13;NA;NA;Orthocladiinae
2022-06-10;1;P01;AWD;1;Y;2;Arthropoda;Insecta;Diptera;Orthocladiinae;NA;NA;NA;NA;180;NA;NA;Orthocladiinae
2022-06-10;1;P01;AWD;1;N;1;NA;NA;NA;NA;NA;NA;Larva diptero 1;NA;1;NA;"Enviado; Foto 66-67";NA
2022-06-10;1;P01;AWD;1;N;1;NA;NA;NA;NA;NA;NA;Sanguijuela pequena;NA;28;NA;"Algunos individuos dejados en UdG; Foto 65";NA
2022-06-10;1;P01;AWD;1;N;1;Crustacea;Copepoda;Cyclopoida;NA;NA;NA;NA;NA;606;NA;NA;Cyclopoida
2022-06-10;1;P02;MSD;1;N;1;Crustacea;Malacostraca;Decapoda;Cambaridae;Procambarus;clarkii;NA;NA;2;NA;NA;clarkii
2022-06-10;1;P02;MSD;1;N;1;Arthropoda;Insecta;Diptera;Ceratopogoninae;NA;NA;NA;Pupa;1;NA;NA;Ceratopogoninae
2022-06-10;1;P02;MSD;1;N;1;Arthropoda;Insecta;Diptera;Ceratopogoninae;NA;NA;NA;NA;3;NA;NA;Ceratopogoninae
2022-06-10;1;P02;MSD;1;N;1;Arthropoda;Insecta;Diptera;Chironominae;NA;NA;NA;Pupa;5;NA;NA;Chironominae
2022-06-10;1;P02;MSD;1;Y;2;Arthropoda;Insecta;Diptera;Chironominae;NA;NA;NA;NA;100;NA;NA;Chironominae
2022-06-10;1;P02;MSD;1;N;1;Arthropoda;Insecta;Odonata;Coenagrionidae;NA;NA;NA;NA;2;NA;NA;Coenagrionidae
2022-06-10;1;P02;MSD;1;N;1;Arthropoda;Insecta;Heteroptera;Corixinae;Sigara;nigrolineata;NA;NA;3;NA;NA;nigrolineata
2022-06-10;1;P02;MSD;1;N;1;Crustacea;Branchiopoda;Cladocera;Daphniidae/ Moinidae;NA;NA;NA;NA;7;NA;NA;Daphniidae/ Moinidae
2022-06-10;1;P02;MSD;1;N;1;Arthropoda;Insecta;Diptera;Dolichopodidae;NA;NA;NA;NA;1;NA;NA;Dolichopodidae
2022-06-10;1;P02;MSD;1;N;1;Arthropoda;Insecta;Coleoptera;Dytiscidae;Hydroglyphus;NA;NA;Larvae;43;NA;NA;Hydroglyphus
2022-06-10;1;P02;MSD;1;N;1;Arthropoda;Insecta;Diptera;Ephydridae;NA;NA;NA;NA;2;NA;NA;Ephydridae
2022-06-10;1;P02;MSD;1;N;1;Arthropoda;Insecta;Odonata;Libellulidae;NA;NA;NA;NA;7;NA;NA;Libellulidae
2022-06-10;1;P02;MSD;1;N;1;Mollusca;Gastropoda;Basommatophora;Lymnaeidae;Radix;peregra;NA;NA;1;NA;NA;peregra
2022-06-10;1;P02;MSD;1;N;1;Arthropoda;Insecta;Diptera;Orthocladiinae;NA;NA;NA;Pupa;8;NA;NA;Orthocladiinae
2022-06-10;1;P02;MSD;1;Y;2;Arthropoda;Insecta;Diptera;Orthocladiinae;NA;NA;NA;NA;534;NA;NA;Orthocladiinae
2022-06-10;1;P02;MSD;1;N;1;Mollusca;Gastropoda;Basommatophora;Physidae;Physa;acuta;NA;NA;4;NA;NA;acuta
2022-06-10;1;P02;MSD;1;N;1;NA;NA;NA;NA;NA;NA;Larva diptero 1;NA;1;NA;NA;NA
2022-06-10;1;P02;MSD;1;N;1;NA;NA;NA;NA;NA;NA;Sanguijuela pequena;NA;55;NA;NA;NA
2022-06-10;1;P02;MSD;1;N;1;Crustacea;Copepoda;Cyclopoida;NA;NA;NA;NA;NA;105;NA;NA;Cyclopoida
2022-06-10;1;P03;CON;1;N;1;Crustacea;Malacostraca;Decapoda;Cambaridae;Procambarus;clarkii;NA;NA;1;NA;NA;clarkii
2022-06-10;1;P03;CON;1;N;1;Arthropoda;Insecta;Diptera;Chironominae;NA;NA;NA;Pupa;13;NA;NA;Chironominae
2022-06-10;1;P03;CON;1;N;1;Arthropoda;Insecta;Diptera;Chironominae;NA;NA;NA;NA;131;NA;NA;Chironominae
2022-06-10;1;P03;CON;1;N;1;Arthropoda;Insecta;Odonata;Coenagrionidae;NA;NA;NA;NA;6;NA;NA;Coenagrionidae
2022-06-10;1;P03;CON;1;N;1;Arthropoda;Insecta;Heteroptera;Corixinae;Sigara;nigrolineata;NA;NA;5;NA;NA;nigrolineata
2022-06-10;1;P03;CON;1;N;1;Arthropoda;Insecta;Diptera;Culicinae;Culex;NA;NA;NA;3;NA;"Enviado; Foto 75";Culex
2022-06-10;1;P03;CON;1;N;1;Arthropoda;Insecta;Coleoptera;Curculionidae;Lissorhoptrus;oryzophilus;NA;Adult;2;NA;NA;oryzophilus
2022-06-10;1;P03;CON;1;N;1;Crustacea;Branchiopoda;Cladocera;Daphniidae/ Moinidae;NA;NA;NA;NA;62;NA;"Enviado; Foto 76";Daphniidae/ Moinidae
2022-06-10;1;P03;CON;1;N;1;Arthropoda;Insecta;Diptera;Dolichopodidae;NA;NA;NA;NA;4;NA;NA;Dolichopodidae
2022-06-10;1;P03;CON;1;N;1;Arthropoda;Insecta;Coleoptera;Dytiscidae;Hydroglyphus;NA;NA;Larvae;31;NA;NA;Hydroglyphus
2022-06-10;1;P03;CON;1;N;1;Arthropoda;Insecta;Coleoptera;Hydrophilidae;Helochares;NA;NA;Larvae;1;NA;NA;Helochares
