Treat,Sampling,Plot,Taxres_max,Abundance,prop
AWD,1,P01,Coenagrionidae,4,0.12903225806451613
AWD,1,P01,Hydroglyphus,21,0.6774193548387096
AWD,1,P01,Libellulidae,4,0.12903225806451613
AWD,1,P01,nigrolineata,1,0.03225806451612903
AWD,1,P01,suturalis,1,0.03225806451612903
AWD,1,P05,Coenagrionidae,1,0.024390243902439025
AWD,1,P05,Hydroglyphus,39,0.9512195121951219
AWD,1,P05,Libellulidae,1,0.024390243902439025
AWD,1,P09,Hydroglyphus,40,0.8695652173913043
AWD,1,P09,Libellulidae,2,0.043478260869565216
AWD,1,P09,nigrolineata,4,0.08695652173913043
AWD,1,P10,Coenagrionidae,2,0.037037037037037035
AWD,1,P10,Hydroglyphus,46,0.8518518518518519
AWD,1,P10,Libellulidae,4,0.07407407407407407
AWD,1,P10,suturalis,2,0.037037037037037035
AWD,1,P14,Coenagrionidae,4,0.26666666666666666
AWD,1,P14,Hydroglyphus,9,0.6
AWD,1,P14,Libellulidae,2,0.13333333333333333
AWD,2,P01,Helochares,1,0.16666666666666666
AWD,2,P01,Hydroglyphus,2,0.3333333333333333
AWD,2,P01,elegans,1,0.16666666666666666
AWD,2,P01,nigrolineata,1,0.16666666666666666
AWD,2,P01,pygmaea,1,0.16666666666666666
AWD,2,P05,Gerris,1,0.029411764705882353
AWD,2,P05,Hydaticus,0,0
AWD,2,P05,Hydroglyphus,2,0.058823529411764705
AWD,2,P05,elegans,20,0.5882352941176471
AWD,2,P05,pygmaea,11,0.3235294117647059
AWD,2,P09,Hydroglyphus,3,0.6
AWD,2,P09,nigrolineata,1,0.2
AWD,2,P09,pygmaea,1,0.2
AWD,2,P10,Helochares,2,0.15384615384615385
AWD,2,P10,Hydroglyphus,4,0.3076923076923077
AWD,2,P10,elegans,2,0.15384615384615385
AWD,2,P10,pygmaea,5,0.38461538461538464
AWD,2,P14,Hydaticus,2,0.11764705882352941
AWD,2,P14,Hydroglyphus,3,0.17647058823529413
AWD,2,P14,elegans,4,0.23529411764705882
AWD,2,P14,nigrolineata,5,0.29411764705882354
AWD,2,P14,pygmaea,2,0.11764705882352941
AWD,2,P14,sardeus,1,0.058823529411764705
AWD,3,P01,pygmaea,5,0.8333333333333334
AWD,3,P01,sardeus,1,0.16666666666666666
AWD,3,P05,Enochrus,1,0.16666666666666666
AWD,3,P05,elegans,2,0.3333333333333333
AWD,3,P05,pygmaea,3,0.5
